Time,Temperature (C),CPU Usage %
2023-03-18 22:24:39.594791,0,2.3
2023-03-18 22:24:49.857594,0,2.3
2023-03-18 22:25:00.135725,0,2.2
2023-03-18 22:25:10.361874,0,2.3
2023-03-18 22:25:20.606954,0,2.2
2023-03-18 22:25:30.783613,0,2.3
2023-03-18 22:25:40.978698,0,1.1
2023-03-18 22:25:51.233468,0,1.8
2023-03-18 22:26:01.473381,0,2.3
2023-03-18 22:26:11.671211,0,2.3
2023-03-18 22:26:21.878347,0,2.3
2023-03-18 22:26:32.112706,0,2.3
2023-03-18 22:26:42.297150,0,2.1
2023-03-18 22:26:52.471570,0,1.8
2023-03-18 22:27:02.680286,0,0.8
2023-03-18 22:27:12.894042,0,2.3
2023-03-18 22:27:23.108582,0,2.3
2023-03-18 22:27:33.319110,0,2.3
2023-03-18 22:27:43.646512,0,2.2
2023-03-18 22:27:53.858658,0,2.5
2023-03-18 22:28:04.040892,0,2.2
2023-03-18 22:28:14.231575,0,0.9
2023-03-18 22:28:24.418867,0,1.6
2023-03-18 22:28:34.642424,0,2.4
2023-03-18 22:28:44.971632,0,2.3
2023-03-18 22:28:55.256391,0,2.4
2023-03-18 22:29:05.463830,0,2.2
2023-03-18 22:29:15.631786,0,2.2
2023-03-18 22:29:25.805805,0,1.9
2023-03-18 22:29:35.979417,0,0.6
2023-03-18 22:29:46.177374,0,2.2
2023-03-18 22:29:56.384862,0,2.6
2023-03-18 22:30:06.593356,0,2.2
2023-03-18 22:30:16.791966,0,2.2
2023-03-18 22:30:27.004159,0,2.3
2023-03-18 22:30:37.182677,0,2.4
2023-03-18 22:30:47.359792,0,0.8
2023-03-18 22:30:57.546939,0,1.5
2023-03-18 22:31:07.757585,0,2.2
2023-03-18 22:31:17.957121,0,2.4
2023-03-18 22:31:28.154685,0,2.2
2023-03-18 22:31:38.352288,0,2.4
2023-03-18 22:31:48.546685,0,2.1
2023-03-18 22:31:58.767608,0,1.9
2023-03-18 22:32:08.946017,0,0.8
2023-03-18 22:32:19.157612,0,2.6
2023-03-18 22:32:29.364488,0,2.2
2023-03-18 22:32:39.652556,0,2.4
2023-03-18 22:32:49.843682,0,2.3
2023-03-18 22:33:00.068941,0,2.3
2023-03-18 22:33:10.254258,0,2.2
2023-03-18 22:33:20.423241,0,0.9
2023-03-18 22:33:30.598255,0,1.8
2023-03-18 22:33:40.800186,0,2.4
2023-03-18 22:33:51.006067,0,2.2
2023-03-18 22:34:01.217581,0,2.4
2023-03-18 22:34:11.415588,0,2.2
2023-03-18 22:34:21.584103,0,2.4
2023-03-18 22:34:31.759572,0,1.7
2023-03-18 22:34:41.929754,0,0.6
2023-03-18 22:34:52.192872,0,2.2
2023-03-18 22:35:02.387973,0,2.4
2023-03-18 22:35:12.579876,0,2.2
2023-03-18 22:35:22.779888,0,2.3
2023-03-18 22:35:32.982200,0,2.3
2023-03-18 22:35:43.310694,0,2.4
2023-03-18 22:35:53.485627,0,0.8
2023-03-18 22:36:03.672959,0,1.6
2023-03-18 22:36:14.242178,0,2.1
2023-03-18 22:36:24.441263,0,2.2
2023-03-18 22:36:34.649555,0,2.6
2023-03-18 22:36:44.961736,0,2.3
2023-03-18 22:36:55.132661,0,2.1
2023-03-18 22:37:05.314830,0,2.2
2023-03-18 22:37:15.505258,0,0.3
2023-03-18 22:37:25.696237,0,2.1
2023-03-18 22:37:35.906946,0,2.5
2023-03-18 22:37:46.124326,0,2.2
2023-03-18 22:37:56.401358,0,2.1
2023-03-18 22:38:06.615545,0,2.3
2023-03-18 22:38:16.808765,0,2.1
2023-03-18 22:38:26.988841,0,1.5
2023-03-18 22:38:37.174902,0,1.3
2023-03-18 22:38:47.363940,0,2.2
2023-03-18 22:38:57.559712,0,2.3
2023-03-18 22:39:07.774378,0,2.5
2023-03-18 22:39:17.997218,0,2.2
2023-03-18 22:39:28.185018,0,3
2023-03-18 22:39:38.546120,0,2.5
2023-03-18 22:39:48.716960,0,0.4
2023-03-18 22:39:58.895614,0,1.9
2023-03-18 22:40:09.268014,0,2.5
2023-03-18 22:40:19.492118,0,2.2
2023-03-18 22:40:29.714757,0,2.4
2023-03-18 22:40:39.928543,0,2.7
2023-03-18 22:40:50.335958,0,2.2
2023-03-18 22:41:00.575480,0,1.9
2023-03-18 22:41:10.757987,0,0.3
2023-03-18 22:41:20.991675,0,2.3
2023-03-18 22:41:31.210888,0,2.3
2023-03-18 22:41:41.411680,0,2.3
2023-03-18 22:41:51.611667,0,2.4
2023-03-18 22:42:01.814010,0,2.2
2023-03-18 22:42:12.014718,0,2.4
2023-03-18 22:42:22.199603,0,1
2023-03-18 22:42:32.785005,0,1.5
2023-03-18 22:42:42.998045,0,2.3
2023-03-18 22:42:53.198907,0,2.5
2023-03-18 22:43:03.412424,0,2.3
2023-03-18 22:43:13.611473,0,2.2
2023-03-18 22:43:23.804535,0,2.1
2023-03-18 22:43:33.988258,0,2.3
2023-03-18 22:43:44.167670,0,0.4
2023-03-18 22:43:54.463492,0,2
2023-03-18 22:44:04.659311,0,2.2
2023-03-18 22:44:14.862919,0,2.3
2023-03-18 22:44:25.078236,0,2.2
2023-03-18 22:44:35.283467,0,2.4
2023-03-18 22:44:45.459081,0,2.1
2023-03-18 22:44:55.638181,0,1.5
2023-03-18 22:45:05.803235,0,1
2023-03-18 22:45:15.999991,0,2.3
2023-03-18 22:45:26.225792,0,2.2
2023-03-18 22:45:36.447678,0,2.5
2023-03-18 22:45:46.639721,0,2.2
2023-03-18 22:45:56.833860,0,2.2
2023-03-18 22:46:07.015890,0,2.2
2023-03-18 22:46:17.191617,0,0.2
2023-03-18 22:46:27.391238,0,2.1
2023-03-18 22:46:37.591874,0,2.4
2023-03-18 22:46:47.786399,0,2.2
2023-03-18 22:46:58.056954,0,2.2
2023-03-18 22:47:08.273097,0,2.4
2023-03-18 22:47:18.443466,0,2.3
2023-03-18 22:47:28.627592,0,1.3
2023-03-18 22:47:38.810950,0,1.3
2023-03-18 22:47:49.014862,0,2.2
2023-03-18 22:47:59.217906,0,2.2
2023-03-18 22:48:09.417950,0,2.3
2023-03-18 22:48:19.617768,0,2.2
2023-03-18 22:48:29.802814,0,2.1
2023-03-18 22:48:39.987077,0,2.3
2023-03-18 22:48:50.400766,0,0.5
2023-03-18 22:49:00.590444,0,1.9
2023-03-18 22:49:10.818698,0,2.3
2023-03-18 22:49:21.023296,0,2.5
2023-03-18 22:49:31.240450,0,2.3
2023-03-18 22:49:41.512532,0,2.5
2023-03-18 22:49:51.676797,0,2.2
2023-03-18 22:50:01.939576,0,1.5
2023-03-18 22:50:12.117703,0,0.7
2023-03-18 22:50:22.321299,0,2.2
2023-03-18 22:50:32.523661,0,2.3
2023-03-18 22:50:42.831506,0,2.5
2023-03-18 22:50:53.021751,0,2.2
2023-03-18 22:51:03.207819,0,2.3
2023-03-18 22:51:13.402436,0,2.1
2023-03-18 22:51:23.598697,0,0.5
2023-03-18 22:51:33.797518,0,2
2023-03-18 22:51:44.005230,0,2.4
2023-03-18 22:51:54.206256,0,2.2
2023-03-18 22:52:04.428950,0,2.3
2023-03-18 22:52:14.635671,0,2.2
2023-03-18 22:52:24.807985,0,2.2
2023-03-18 22:52:34.990041,0,1.6
2023-03-18 22:52:45.163100,0,0.9
2023-03-18 22:52:55.407658,0,2.2
2023-03-18 22:53:05.598613,0,2.4
2023-03-18 22:53:15.800231,0,2.3
2023-03-18 22:53:26.009299,0,2.4
2023-03-18 22:53:36.234963,0,2.8
2023-03-18 22:53:46.428815,0,2.3
2023-03-18 22:53:56.606337,0,0.5
2023-03-18 22:54:06.791845,0,2
2023-03-18 22:54:17.003771,0,2.2
2023-03-18 22:54:27.191677,0,2.2
2023-03-18 22:54:37.395964,0,2.4
2023-03-18 22:54:47.610414,0,2.2
2023-03-18 22:54:57.791556,0,2.1
2023-03-18 22:55:07.964835,0,1.4
2023-03-18 22:55:18.164004,0,0.9
2023-03-18 22:55:28.376518,0,2.3
2023-03-18 22:55:38.586727,0,2.5
2023-03-18 22:55:48.794789,0,2.3
2023-03-18 22:55:59.066836,0,2.2
2023-03-18 22:56:09.259191,0,2.3
2023-03-18 22:56:19.429547,0,2.1
2023-03-18 22:56:29.612450,0,0.4
2023-03-18 22:56:39.811661,0,2.2
2023-03-18 22:56:50.042009,0,2.2
2023-03-18 22:57:00.246189,0,2.2
2023-03-18 22:57:10.456971,0,2.5
2023-03-18 22:57:20.668710,0,2.2
2023-03-18 22:57:30.845168,0,2.3
2023-03-18 22:57:41.027593,0,1.6
2023-03-18 22:57:51.208149,0,1.2
2023-03-18 22:58:01.457185,0,2.2
2023-03-18 22:58:11.668749,0,2.2
2023-03-18 22:58:21.888517,0,2.2
2023-03-18 22:58:32.087275,0,2.3
2023-03-18 22:58:42.323802,0,2.2
2023-03-18 22:58:52.489819,0,2.2
2023-03-18 22:59:02.711769,0,0.4
2023-03-18 22:59:12.891067,0,2.1
2023-03-18 22:59:23.101926,0,2.2
2023-03-18 22:59:33.299649,0,2.3
2023-03-18 22:59:43.510299,0,2.5
2023-03-18 22:59:53.697222,0,2.3
2023-03-18 23:00:03.890445,0,2.5
2023-03-18 23:00:14.067586,0,1.3
2023-03-18 23:00:24.241074,0,1
2023-03-18 23:00:34.451753,0,2.2
2023-03-18 23:00:44.695691,0,2.3
2023-03-18 23:00:54.896685,0,2.3
2023-03-18 23:01:05.096960,0,2.3
2023-03-18 23:01:15.266459,0,2.3
2023-03-18 23:01:25.451114,0,2.1
2023-03-18 23:01:35.636285,0,0.4
2023-03-18 23:01:45.853513,0,2.1
2023-03-18 23:01:56.120722,0,2.3
2023-03-18 23:02:06.315310,0,2.5
2023-03-18 23:02:16.513076,0,2.3
2023-03-18 23:02:26.719628,0,2.4
2023-03-18 23:02:36.893753,0,2.4
2023-03-18 23:02:47.066594,0,1.2
2023-03-18 23:02:57.252009,0,1.3
2023-03-18 23:03:07.452726,0,2.3
2023-03-18 23:03:17.660507,0,2.1
2023-03-18 23:03:27.873945,0,2.2
2023-03-18 23:03:38.070443,0,2.8
2023-03-18 23:03:48.257916,0,2.1
2023-03-18 23:03:58.441489,0,2.3
2023-03-18 23:04:08.650449,0,0.3
2023-03-18 23:04:18.843968,0,2.6
2023-03-18 23:04:29.049793,0,2.2
2023-03-18 23:04:39.251443,0,2.4
2023-03-18 23:04:49.450719,0,2.2
2023-03-18 23:04:59.746352,0,2.2
2023-03-18 23:05:09.921108,0,2.2
2023-03-18 23:05:20.097930,0,1.1
2023-03-18 23:05:30.276742,0,1.3
2023-03-18 23:05:40.486948,0,2.4
2023-03-18 23:05:50.709466,0,2.2
2023-03-18 23:06:00.918877,0,2.5
2023-03-18 23:06:11.123135,0,2.2
2023-03-18 23:06:21.308903,0,2.3
2023-03-18 23:06:31.475578,0,2.4
2023-03-18 23:06:41.701117,0,0.4
2023-03-18 23:06:51.903680,0,2.2
2023-03-18 23:07:02.094177,0,2.4
2023-03-18 23:07:12.297651,0,10.8
2023-03-18 23:07:22.469843,0,2.6
2023-03-18 23:07:32.666559,0,2.8
2023-03-18 23:07:42.846782,0,2.9
2023-03-18 23:07:53.023619,0,1.4
2023-03-18 23:08:03.307722,0,2
2023-03-18 23:08:13.543339,0,2.8
2023-03-18 23:08:23.737486,0,2.7
2023-03-18 23:08:33.939208,0,2.8
2023-03-18 23:08:44.186009,0,2.8
2023-03-18 23:08:54.362491,0,2.6
2023-03-18 23:09:04.531038,0,2.7
2023-03-18 23:09:14.705060,0,0.9
2023-03-18 23:09:24.903029,0,2.8
2023-03-18 23:09:35.115716,0,4
2023-03-18 23:09:45.322175,0,2.9
2023-03-18 23:09:55.515286,0,2.7
2023-03-18 23:10:05.701557,0,2.7
2023-03-18 23:10:15.896794,0,2.6
2023-03-18 23:10:26.067203,0,1.3
2023-03-18 23:10:36.270354,0,2.5
2023-03-18 23:10:46.462623,0,2.8
2023-03-18 23:10:56.669088,0,2.7
2023-03-18 23:11:06.971373,0,2.8
2023-03-18 23:11:17.167946,0,2.8
2023-03-18 23:11:27.335698,0,2.7
2023-03-18 23:11:37.511476,0,2.5
2023-03-18 23:11:47.696324,0,0.9
2023-03-18 23:11:57.896551,0,2.6
2023-03-18 23:12:08.106797,0,2.8
2023-03-18 23:12:18.305777,0,2.7
2023-03-18 23:12:28.522386,0,2.9
2023-03-18 23:12:38.700257,0,2.7
2023-03-18 23:12:48.871099,0,3
2023-03-18 23:12:59.050602,0,1.2
2023-03-18 23:13:09.224121,0,2.2
2023-03-18 23:13:19.435633,0,2.9
2023-03-18 23:13:29.634229,0,2.7
2023-03-18 23:13:39.837702,0,2.8
2023-03-18 23:13:50.029118,0,2.7
2023-03-18 23:14:00.280230,0,2.6
2023-03-18 23:14:10.471589,0,2.3
2023-03-18 23:14:20.642211,0,1.2
