Time,CPU Usage %,Temperature (C)
2023-03-18 23:09:14.705060,0.9,0
2023-03-18 23:09:24.903029,2.8,0
2023-03-18 23:09:35.115716,4,0
2023-03-18 23:09:45.322175,2.9,0
2023-03-18 23:09:55.515286,2.7,0
2023-03-18 23:10:05.701557,2.7,0
2023-03-18 23:10:15.896794,2.6,0
2023-03-18 23:10:26.067203,1.3,0
2023-03-18 23:10:36.270354,2.5,0
2023-03-18 23:10:46.462623,2.8,0
2023-03-18 23:10:56.669088,2.7,0
2023-03-18 23:11:06.971373,2.8,0
2023-03-18 23:11:17.167946,2.8,0
2023-03-18 23:11:27.335698,2.7,0
2023-03-18 23:11:37.511476,2.5,0
2023-03-18 23:11:47.696324,0.9,0
2023-03-18 23:11:57.896551,2.6,0
2023-03-18 23:12:08.106797,2.8,0
2023-03-18 23:12:18.305777,2.7,0
2023-03-18 23:12:28.522386,2.9,0
2023-03-18 23:12:38.700257,2.7,0
2023-03-18 23:12:48.871099,3,0
2023-03-18 23:12:59.050602,1.2,0
2023-03-18 23:13:09.224121,2.2,0
2023-03-18 23:13:19.435633,2.9,0
2023-03-18 23:13:29.634229,2.7,0
2023-03-18 23:13:39.837702,2.8,0
2023-03-18 23:13:50.029118,2.7,0
2023-03-18 23:14:00.280230,2.6,0
2023-03-18 23:14:10.471589,2.3,0
2023-03-18 23:14:20.642211,1.2,0
2023-03-18 23:14:30.833567,2.8,0
2023-03-18 23:14:41.025746,2.8,0
2023-03-18 23:14:51.215209,2.8,0
2023-03-18 23:15:01.418887,2.8,0
2023-03-18 23:15:11.585232,2.7,0
2023-03-18 23:15:21.762935,2.5,0
2023-03-18 23:15:31.931582,0.9,0
2023-03-18 23:15:42.097856,2.4,0
2023-03-18 23:15:52.297149,2.9,0
2023-03-18 23:16:02.492152,2.7,0
2023-03-18 23:16:12.682114,2.8,0
2023-03-18 23:16:22.864995,2.7,0
2023-03-18 23:16:33.035323,2.8,0
2023-03-18 23:16:43.359770,1.9,0
2023-03-18 23:16:53.542234,1.4,0
2023-03-18 23:17:03.816047,3,0
2023-03-18 23:17:14.015115,2.9,0
2023-03-18 23:17:24.215309,2.6,0
2023-03-18 23:17:34.395427,2.8,0
2023-03-18 23:17:44.706271,2.6,0
2023-03-18 23:17:54.880654,2.7,0
2023-03-18 23:18:05.095572,1,0
2023-03-18 23:18:15.259599,2.3,0
2023-03-18 23:18:25.468824,2.7,0
2023-03-18 23:18:35.671729,3,0
2023-03-18 23:18:45.867595,2.7,0
2023-03-18 23:18:56.035593,2.6,0
2023-03-18 23:19:06.224789,2.7,0
2023-03-18 23:19:16.397898,2.2,0
2023-03-18 23:19:26.600682,1.5,0
2023-03-18 23:19:36.785946,3.1,0
2023-03-18 23:19:46.985811,2.8,0
2023-03-18 23:19:57.194674,2.7,0
2023-03-18 23:20:07.442315,2.7,0
2023-03-18 23:20:17.620103,2.6,0
2023-03-18 23:20:27.792870,2.7,0
2023-03-18 23:20:37.959689,0.7,0
